zip,ruca,city,state_name,population,county,median_household_income
01001,Urban,Agawam,Massachusetts,"16,088",Hampden,"$72,444"
01002,Urban,Amherst,Massachusetts,"27,323",Hampshire,"$65,013"
01003,Urban,Amherst,Massachusetts,"13,711",Hampshire,
01005,Suburban,Barre,Massachusetts,"4,947",Worcester,"$103,477"
01007,Urban,Belchertown,Massachusetts,"15,304",Hampshire,"$101,076"
01008,Suburban,Blandford,Massachusetts,"1,171",Hampden,"$79,573"
01009,Urban,Bondsville,Massachusetts,800,Hampden,"$64,809"
01010,Suburban,Brimfield,Massachusetts,"3,703",Hampden,"$84,830"
01011,Suburban,Chester,Massachusetts,"1,332",Hampden,"$75,640"
01012,Suburban,Chesterfield,Massachusetts,503,Hampshire,"$68,894"
01013,Urban,Chicopee,Massachusetts,"22,709",Hampden,"$52,721"
01020,Urban,Chicopee,Massachusetts,"30,704",Hampden,"$61,963"
01022,Urban,Chicopee,Massachusetts,"2,235",Hampden,"$50,134"
01026,Suburban,Cummington,Massachusetts,"1,071",Hampshire,"$76,100"
01027,Urban,Easthampton,Massachusetts,"17,708",Hampshire,"$64,330"
01028,Urban,East Longmeadow,Massachusetts,"16,386",Hampden,"$95,284"
01029,Rural,East Otis,Massachusetts,511,Berkshire,"$88,750"
01030,Urban,Feeding Hills,Massachusetts,"12,627",Hampden,"$86,136"
01031,Suburban,Gilbertville,Massachusetts,"1,577",Worcester,"$49,071"
01032,Suburban,Goshen,Massachusetts,430,Hampshire,"$83,750"
01033,Urban,Granby,Massachusetts,"6,110",Hampshire,"$106,821"
01034,Suburban,Granville,Massachusetts,"1,991",Hampden,"$91,176"
01035,Urban,Hadley,Massachusetts,"5,293",Hampshire,"$101,458"
01036,Urban,Hampden,Massachusetts,"4,991",Hampden,"$99,400"
01037,Suburban,Hardwick,Massachusetts,692,Worcester,"$85,250"
01038,Suburban,Hatfield,Massachusetts,"2,601",Hampshire,"$90,893"
01039,Suburban,Haydenville,Massachusetts,"1,675",Hampshire,"$99,896"
01040,Urban,Holyoke,Massachusetts,"38,480",Hampden,"$45,045"
01050,Suburban,Huntington,Massachusetts,"2,593",Hampshire,"$70,800"
01053,Urban,Leeds,Massachusetts,"2,016",Hampshire,"$56,094"
01054,Suburban,Leverett,Massachusetts,"1,794",Franklin,"$97,188"
01056,Urban,Ludlow,Massachusetts,"21,050",Hampden,"$72,563"
01057,Suburban,Monson,Massachusetts,"8,288",Hampden,"$72,567"
01060,Urban,Northampton,Massachusetts,"14,975",Hampshire,"$70,467"
01062,Urban,Florence,Massachusetts,"9,835",Hampshire,"$78,526"
01063,Urban,Northampton,Massachusetts,"2,532",Hampshire,
01066,Suburban,North Hatfield,Massachusetts,51,Hampshire,
01068,Suburban,Oakham,Massachusetts,"1,621",Worcester,"$85,078"
01069,Urban,Palmer,Massachusetts,"8,870",Hampden,"$64,300"
01070,Suburban,Plainfield,Massachusetts,621,Hampshire,"$71,000"
01071,Suburban,Russell,Massachusetts,"1,280",Hampden,"$94,286"
01072,Suburban,Shutesbury,Massachusetts,"1,374",Franklin,"$79,226"
01073,Suburban,Southampton,Massachusetts,"6,158",Hampshire,"$110,200"
01074,Suburban,South Barre,Massachusetts,584,Worcester,"$81,681"
01075,Urban,South Hadley,Massachusetts,"18,051",Hampshire,"$82,278"
01077,Urban,Southwick,Massachusetts,"9,292",Hampden,"$100,337"
01079,Urban,Thorndike,Massachusetts,521,Hampden,"$65,184"
01080,Urban,Three Rivers,Massachusetts,"2,276",Hampden,"$80,087"
01081,Suburban,Wales,Massachusetts,"1,748",Hampden,"$85,938"
01082,Suburban,Ware,Massachusetts,"10,441",Hampshire,"$60,281"
01083,Suburban,Warren,Massachusetts,"2,701",Worcester,"$81,078"
01084,Suburban,West Chesterfield,Massachusetts,101,Hampshire,"$78,750"
01085,Urban,Westfield,Massachusetts,"41,715",Hampden,"$74,341"
01088,Suburban,West Hatfield,Massachusetts,663,Hampshire,"$60,260"
01089,Urban,West Springfield,Massachusetts,"28,814",Hampden,"$60,023"
01092,Suburban,West Warren,Massachusetts,"1,248",Worcester,"$62,500"
01093,Suburban,Whately,Massachusetts,157,Franklin,"$96,500"
01094,Suburban,Wheelwright,Massachusetts,70,Worcester,
01095,Urban,Wilbraham,Massachusetts,"14,737",Hampden,"$124,327"
01096,Suburban,Williamsburg,Massachusetts,"2,413",Hampshire,"$89,643"
01097,Suburban,Woronoco,Massachusetts,64,Hampden,"$70,909"
01098,Suburban,Worthington,Massachusetts,"1,042",Hampshire,"$86,364"
01103,Urban,Springfield,Massachusetts,"2,168",Hampden,"$20,978"
01104,Urban,Springfield,Massachusetts,"23,226",Hampden,"$41,402"
01105,Urban,Springfield,Massachusetts,"12,527",Hampden,"$23,331"
01106,Urban,Longmeadow,Massachusetts,"16,150",Hampden,"$129,339"
01107,Urban,Springfield,Massachusetts,"12,387",Hampden,"$31,698"
01108,Urban,Springfield,Massachusetts,"26,257",Hampden,"$41,153"
01109,Urban,Springfield,Massachusetts,"31,242",Hampden,"$37,887"
01118,Urban,Springfield,Massachusetts,"15,073",Hampden,"$70,295"
01119,Urban,Springfield,Massachusetts,"13,803",Hampden,"$50,729"
01128,Urban,Springfield,Massachusetts,"3,232",Hampden,"$79,015"
01129,Urban,Springfield,Massachusetts,"5,916",Hampden,"$75,944"
01144,Urban,Springfield,Massachusetts,0,Hampden,
01151,Urban,Indian Orchard,Massachusetts,"9,640",Hampden,"$47,234"
01201,Urban,Pittsfield,Massachusetts,"45,372",Berkshire,"$60,060"
01220,Urban,Adams,Massachusetts,"8,161",Berkshire,"$49,691"
01222,Rural,Ashley Falls,Massachusetts,754,Berkshire,"$61,840"
01223,Suburban,Becket,Massachusetts,"2,658",Berkshire,"$64,750"
01224,Urban,Berkshire,Massachusetts,186,Berkshire,
01225,Urban,Cheshire,Massachusetts,"3,243",Berkshire,"$69,069"
01226,Urban,Dalton,Massachusetts,"6,356",Berkshire,"$72,664"
01229,Rural,Glendale,Massachusetts,142,Berkshire,
01230,Suburban,Great Barrington,Massachusetts,"9,139",Berkshire,"$71,281"
01235,Suburban,Hinsdale,Massachusetts,"2,610",Berkshire,"$66,516"
01236,Suburban,Housatonic,Massachusetts,"1,632",Berkshire,"$77,588"
01237,Urban,Lanesborough,Massachusetts,"2,332",Berkshire,"$78,413"
01238,Suburban,Lee,Massachusetts,"5,626",Berkshire,"$69,840"
01240,Suburban,Lenox,Massachusetts,"4,926",Berkshire,"$72,200"
01242,Suburban,Lenox Dale,Massachusetts,279,Berkshire,
01243,Suburban,Middlefield,Massachusetts,163,Hampshire,"$74,688"
01244,Rural,Mill River,Massachusetts,164,Berkshire,"$53,462"
01245,Rural,Monterey,Massachusetts,771,Berkshire,"$101,488"
01247,Urban,North Adams,Massachusetts,"15,405",Berkshire,"$51,959"
01253,Rural,Otis,Massachusetts,879,Berkshire,"$93,625"
01254,Suburban,Richmond,Massachusetts,995,Berkshire,"$97,500"
01255,Rural,Sandisfield,Massachusetts,865,Berkshire,"$76,750"
01256,Suburban,Savoy,Massachusetts,708,Berkshire,"$51,250"
01257,Rural,Sheffield,Massachusetts,"2,034",Berkshire,"$64,531"
01258,Rural,South Egremont,Massachusetts,161,Berkshire,"$92,917"
01259,Rural,Southfield,Massachusetts,720,Berkshire,"$110,417"
01260,Suburban,South Lee,Massachusetts,331,Berkshire,"$123,367"
01262,Rural,Stockbridge,Massachusetts,"1,627",Berkshire,"$51,875"
01264,Rural,Tyringham,Massachusetts,252,Berkshire,"$73,333"
01266,Rural,West Stockbridge,Massachusetts,920,Berkshire,"$85,406"
01267,Urban,Williamstown,Massachusetts,"8,166",Berkshire,"$95,360"
01270,Suburban,Windsor,Massachusetts,949,Berkshire,"$99,063"
01301,Urban,Greenfield,Massachusetts,"17,901",Franklin,"$52,569"
01330,Suburban,Ashfield,Massachusetts,"1,542",Franklin,"$74,355"
01331,Urban,Athol,Massachusetts,"13,870",Worcester,"$61,990"
01337,Suburban,Bernardston,Massachusetts,"2,492",Franklin,"$75,938"
01338,Rural,Buckland,Massachusetts,97,Franklin,"$57,344"
01339,Suburban,Charlemont,Massachusetts,"1,493",Franklin,"$65,139"
01340,Suburban,Colrain,Massachusetts,"1,818",Franklin,"$64,097"
01341,Suburban,Conway,Massachusetts,"1,658",Franklin,"$86,875"
01342,Suburban,Deerfield,Massachusetts,"1,135",Franklin,"$99,732"
01343,Suburban,Drury,Massachusetts,152,Berkshire,"$74,545"
01344,Suburban,Erving,Massachusetts,"1,697",Franklin,"$66,319"
01346,Suburban,Heath,Massachusetts,407,Franklin,"$99,082"
01347,Urban,Lake Pleasant,Massachusetts,207,Franklin,"$67,500"
01349,Urban,Millers Falls,Massachusetts,715,Franklin,"$63,717"
01350,Suburban,Monroe Bridge,Massachusetts,114,Franklin,
01351,Urban,Montague,Massachusetts,"2,725",Franklin,"$100,078"
01354,Suburban,Gill,Massachusetts,"1,708",Franklin,"$72,500"
01355,Suburban,New Salem,Massachusetts,"1,010",Franklin,"$72,064"
01360,Suburban,Northfield,Massachusetts,"2,899",Franklin,"$83,750"
01364,Urban,Orange,Massachusetts,"7,684",Franklin,"$53,039"
01366,Suburban,Petersham,Massachusetts,"1,141",Worcester,"$77,500"
01367,Suburban,Rowe,Massachusetts,473,Franklin,"$67,500"
01368,Urban,Royalston,Massachusetts,"1,461",Worcester,"$89,417"
01370,Rural,Shelburne Falls,Massachusetts,"3,690",Franklin,"$69,643"
01373,Suburban,South Deerfield,Massachusetts,"5,076",Franklin,"$83,826"
01375,Suburban,Sunderland,Massachusetts,"3,667",Franklin,"$58,750"
01376,Urban,Turners Falls,Massachusetts,"4,968",Franklin,"$50,921"
01378,Suburban,Warwick,Massachusetts,762,Franklin,"$75,179"
01379,Suburban,Wendell,Massachusetts,819,Franklin,"$60,372"
01380,Suburban,Wendell Depot,Massachusetts,47,Franklin,"$72,500"
01420,Urban,Fitchburg,Massachusetts,"41,766",Worcester,"$60,390"
01430,Suburban,Ashburnham,Massachusetts,"6,316",Worcester,"$103,762"
01431,Suburban,Ashby,Massachusetts,"3,189",Middlesex,"$95,536"
01432,Urban,Ayer,Massachusetts,"7,912",Middlesex,"$97,097"
01434,Suburban,Devens,Massachusetts,"2,245",Worcester,"$140,391"
01436,Urban,Baldwinville,Massachusetts,"3,673",Worcester,"$75,833"
01438,Urban,East Templeton,Massachusetts,365,Worcester,"$77,381"
01440,Urban,Gardner,Massachusetts,"21,310",Worcester,"$53,400"
01450,Urban,Groton,Massachusetts,"11,218",Middlesex,"$169,643"
01451,Suburban,Harvard,Massachusetts,"5,068",Worcester,"$174,444"
01452,Suburban,Hubbardston,Massachusetts,"4,338",Worcester,"$105,938"
01453,Urban,Leominster,Massachusetts,"43,478",Worcester,"$69,525"
01460,Urban,Littleton,Massachusetts,"10,063",Middlesex,"$140,511"
01462,Urban,Lunenburg,Massachusetts,"11,657",Worcester,"$101,540"
01463,Urban,Pepperell,Massachusetts,"11,707",Middlesex,"$111,827"
01464,Urban,Shirley,Massachusetts,"7,400",Middlesex,"$111,875"
01468,Urban,Templeton,Massachusetts,"4,058",Worcester,"$98,925"
01469,Urban,Townsend,Massachusetts,"7,479",Middlesex,"$103,984"
01473,Urban,Westminster,Massachusetts,"8,148",Worcester,"$107,738"
01474,Urban,West Townsend,Massachusetts,"1,665",Middlesex,"$108,068"
01475,Urban,Winchendon,Massachusetts,"10,292",Worcester,"$85,000"
01501,Urban,Auburn,Massachusetts,"16,684",Worcester,"$94,267"
01503,Urban,Berlin,Massachusetts,"3,326",Worcester,"$106,908"
01504,Urban,Blackstone,Massachusetts,"9,188",Worcester,"$89,129"
01505,Urban,Boylston,Massachusetts,"4,810",Worcester,"$127,833"
01506,Suburban,Brookfield,Massachusetts,"3,435",Worcester,"$75,329"
01507,Suburban,Charlton,Massachusetts,"13,312",Worcester,"$106,558"
01510,Urban,Clinton,Massachusetts,"15,221",Worcester,"$84,938"
01515,Suburban,East Brookfield,Massachusetts,"2,040",Worcester,"$70,660"
01516,Urban,Douglas,Massachusetts,"9,186",Worcester,"$133,854"
01518,Urban,Fiskdale,Massachusetts,"3,299",Worcester,"$78,673"
01519,Urban,Grafton,Massachusetts,"7,626",Worcester,"$128,824"
01520,Urban,Holden,Massachusetts,"16,752",Worcester,"$128,245"
01521,Suburban,Holland,Massachusetts,"2,591",Hampden,"$82,500"
01522,Urban,Jefferson,Massachusetts,"2,907",Worcester,"$109,867"
01523,Urban,Lancaster,Massachusetts,"8,359",Worcester,"$109,651"
01524,Urban,Leicester,Massachusetts,"6,296",Worcester,"$80,702"
01525,Urban,Linwood,Massachusetts,31,Worcester,
01527,Urban,Millbury,Massachusetts,"13,827",Worcester,"$96,672"
01529,Urban,Millville,Massachusetts,"3,166",Worcester,"$82,131"
01531,Suburban,New Braintree,Massachusetts,"1,052",Worcester,"$86,667"
01532,Urban,Northborough,Massachusetts,"15,605",Worcester,"$148,010"
01534,Urban,Northbridge,Massachusetts,"6,169",Worcester,"$115,439"
01535,Suburban,North Brookfield,Massachusetts,"4,757",Worcester,"$77,313"
01536,Urban,North Grafton,Massachusetts,"7,141",Worcester,"$89,886"
01537,Urban,North Oxford,Massachusetts,"1,775",Worcester,"$61,514"
01540,Urban,Oxford,Massachusetts,"11,529",Worcester,"$110,195"
01541,Suburban,Princeton,Massachusetts,"3,502",Worcester,"$148,438"
01542,Urban,Rochdale,Massachusetts,"2,667",Worcester,"$88,295"
01543,Urban,Rutland,Massachusetts,"8,988",Worcester,"$132,000"
01545,Urban,Shrewsbury,Massachusetts,"38,291",Worcester,"$117,909"
01550,Urban,Southbridge,Massachusetts,"17,643",Worcester,"$50,414"
01560,Urban,South Grafton,Massachusetts,"4,773",Worcester,"$89,779"
01561,Urban,South Lancaster,Massachusetts,69,Worcester,
01562,Urban,Spencer,Massachusetts,"11,963",Worcester,"$68,559"
01564,Urban,Sterling,Massachusetts,"8,015",Worcester,"$119,000"
01566,Urban,Sturbridge,Massachusetts,"6,507",Worcester,"$105,417"
01568,Urban,Upton,Massachusetts,"7,826",Worcester,"$141,250"
01569,Urban,Uxbridge,Massachusetts,"13,948",Worcester,"$115,304"
01570,Urban,Webster,Massachusetts,"17,664",Worcester,"$64,305"
01571,Urban,Dudley,Massachusetts,"11,890",Worcester,"$75,465"
01581,Urban,Westborough,Massachusetts,"21,213",Worcester,"$118,185"
01583,Urban,West Boylston,Massachusetts,"7,607",Worcester,"$94,464"
01585,Suburban,West Brookfield,Massachusetts,"4,864",Worcester,"$71,667"
01588,Urban,Whitinsville,Massachusetts,"10,206",Worcester,"$81,438"
01590,Urban,Sutton,Massachusetts,"9,219",Worcester,"$123,542"
01602,Urban,Worcester,Massachusetts,"26,711",Worcester,"$76,287"
01603,Urban,Worcester,Massachusetts,"20,184",Worcester,"$53,166"
01604,Urban,Worcester,Massachusetts,"40,961",Worcester,"$63,107"
01605,Urban,Worcester,Massachusetts,"30,353",Worcester,"$45,709"
01606,Urban,Worcester,Massachusetts,"22,883",Worcester,"$74,765"
01607,Urban,Worcester,Massachusetts,"8,836",Worcester,"$57,880"
01608,Urban,Worcester,Massachusetts,"4,782",Worcester,"$37,962"
01609,Urban,Worcester,Massachusetts,"23,509",Worcester,"$49,333"
01610,Urban,Worcester,Massachusetts,"26,057",Worcester,"$35,642"
01611,Urban,Cherry Valley,Massachusetts,"2,209",Worcester,"$103,405"
01612,Urban,Paxton,Massachusetts,"5,005",Worcester,"$123,958"
01701,Urban,Framingham,Massachusetts,"33,319",Middlesex,"$120,811"
01702,Urban,Framingham,Massachusetts,"38,842",Middlesex,"$71,602"
01718,Urban,Acton,Massachusetts,767,Middlesex,"$173,000"
01719,Urban,Boxborough,Massachusetts,"5,471",Middlesex,"$136,875"
01720,Urban,Acton,Massachusetts,"23,107",Middlesex,"$138,220"
01721,Urban,Ashland,Massachusetts,"18,646",Middlesex,"$115,959"
01730,Urban,Bedford,Massachusetts,"14,233",Middlesex,"$140,647"
01731,Urban,Hanscom Afb,Massachusetts,"1,917",Middlesex,"$105,909"
01740,Suburban,Bolton,Massachusetts,"5,606",Worcester,"$167,132"
01741,Suburban,Carlisle,Massachusetts,"5,215",Middlesex,"$216,000"
01742,Urban,Concord,Massachusetts,"18,393",Middlesex,"$168,934"
01745,Urban,Fayville,Massachusetts,538,Worcester,"$148,207"
01746,Urban,Holliston,Massachusetts,"14,386",Middlesex,"$142,339"
01747,Urban,Hopedale,Massachusetts,"6,012",Worcester,"$113,300"
01748,Urban,Hopkinton,Massachusetts,"18,501",Middlesex,"$179,192"
01749,Urban,Hudson,Massachusetts,"20,032",Middlesex,"$94,191"
01752,Urban,Marlborough,Massachusetts,"41,505",Middlesex,"$86,230"
01754,Urban,Maynard,Massachusetts,"10,702",Middlesex,"$112,432"
01756,Urban,Mendon,Massachusetts,"6,212",Worcester,"$133,850"
01757,Urban,Milford,Massachusetts,"30,294",Worcester,"$89,273"
01760,Urban,Natick,Massachusetts,"36,354",Middlesex,"$123,109"
01770,Urban,Sherborn,Massachusetts,"4,406",Middlesex,"$218,906"
01772,Urban,Southborough,Massachusetts,"9,842",Worcester,"$173,056"
01773,Urban,Lincoln,Massachusetts,"5,155",Middlesex,"$172,891"
01775,Urban,Stow,Massachusetts,"7,130",Middlesex,"$147,841"
01776,Urban,Sudbury,Massachusetts,"18,912",Middlesex,"$217,847"
01778,Urban,Wayland,Massachusetts,"14,060",Middlesex,"$203,125"
01801,Urban,Woburn,Massachusetts,"40,967",Middlesex,"$95,184"
01803,Urban,Burlington,Massachusetts,"26,234",Middlesex,"$124,755"
01810,Urban,Andover,Massachusetts,"35,600",Essex,"$155,252"
01821,Urban,Billerica,Massachusetts,"31,499",Middlesex,"$126,146"
01824,Urban,Chelmsford,Massachusetts,"26,574",Middlesex,"$130,215"
01826,Urban,Dracut,Massachusetts,"32,313",Middlesex,"$94,882"
01827,Suburban,Dunstable,Massachusetts,"3,369",Middlesex,"$177,803"
01830,Urban,Haverhill,Massachusetts,"27,403",Essex,"$66,052"
01832,Urban,Haverhill,Massachusetts,"25,526",Essex,"$70,910"
01833,Urban,Georgetown,Massachusetts,"8,384",Essex,"$130,240"
01834,Urban,Groveland,Massachusetts,"6,739",Essex,"$121,711"
01835,Urban,Haverhill,Massachusetts,"14,164",Essex,"$92,880"
01840,Urban,Lawrence,Massachusetts,"6,814",Essex,"$28,347"
01841,Urban,Lawrence,Massachusetts,"53,180",Essex,"$47,527"
01843,Urban,Lawrence,Massachusetts,"27,804",Essex,"$61,362"
01844,Urban,Methuen,Massachusetts,"52,502",Essex,"$87,181"
01845,Urban,North Andover,Massachusetts,"31,394",Essex,"$120,954"
01850,Urban,Lowell,Massachusetts,"16,438",Middlesex,"$59,571"
01851,Urban,Lowell,Massachusetts,"32,469",Middlesex,"$72,133"
01852,Urban,Lowell,Massachusetts,"36,740",Middlesex,"$68,256"
01854,Urban,Lowell,Massachusetts,"29,157",Middlesex,"$58,422"
01860,Urban,Merrimac,Massachusetts,"6,698",Essex,"$88,832"
01862,Urban,North Billerica,Massachusetts,"10,719",Middlesex,"$106,964"
01863,Urban,North Chelmsford,Massachusetts,"9,697",Middlesex,"$108,427"
01864,Urban,North Reading,Massachusetts,"15,549",Middlesex,"$123,813"
