zip,ruca,population,median_household_income,within_10_miles_count
1001,Urban,"16,088","$72,444",3.0
1002,Urban,"27,323","$65,013",1.0
1003,Urban,"13,711",,2.0
1005,Suburban,"4,947","$103,477",0.0
1007,Urban,"15,304","$101,076",2.0
1008,Suburban,"1,171","$79,573",0.0
1009,Urban,800,"$64,809",1.0
1010,Suburban,"3,703","$84,830",1.0
1011,Suburban,"1,332","$75,640",0.0
1012,Suburban,503,"$68,894",0.0
1013,Urban,"22,709","$52,721",3.0
1020,Urban,"30,704","$61,963",3.0
1022,Urban,"2,235","$50,134",2.0
1026,Suburban,"1,071","$76,100",0.0
1027,Urban,"17,708","$64,330",3.0
1028,Urban,"16,386","$95,284",2.0
1029,Rural,511,"$88,750",0.0
1030,Urban,"12,627","$86,136",2.0
1031,Suburban,"1,577","$49,071",1.0
1032,Suburban,430,"$83,750",0.0
1033,Urban,"6,110","$106,821",4.0
1034,Suburban,"1,991","$91,176",0.0
1035,Urban,"5,293","$101,458",2.0
1036,Urban,"4,991","$99,400",1.0
1037,Suburban,692,"$85,250",1.0
1038,Suburban,"2,601","$90,893",2.0
1039,Suburban,"1,675","$99,896",2.0
1040,Urban,"38,480","$45,045",3.0
1050,Suburban,"2,593","$70,800",0.0
1053,Urban,"2,016","$56,094",2.0
1054,Suburban,"1,794","$97,188",1.0
1056,Urban,"21,050","$72,563",2.0
1057,Suburban,"8,288","$72,567",0.0
1060,Urban,"14,975","$70,467",2.0
1062,Urban,"9,835","$78,526",2.0
1063,Urban,"2,532",,2.0
1066,Suburban,51,,2.0
1068,Suburban,"1,621","$85,078",1.0
1069,Urban,"8,870","$64,300",1.0
1070,Suburban,621,"$71,000",0.0
1071,Suburban,"1,280","$94,286",1.0
1072,Suburban,"1,374","$79,226",0.0
1073,Suburban,"6,158","$110,200",3.0
1074,Suburban,584,"$81,681",0.0
1075,Urban,"18,051","$82,278",4.0
1077,Urban,"9,292","$100,337",1.0
1079,Urban,521,"$65,184",1.0
1080,Urban,"2,276","$80,087",2.0
1081,Suburban,"1,748","$85,938",1.0
1082,Suburban,"10,441","$60,281",1.0
1083,Suburban,"2,701","$81,078",2.0
1084,Suburban,101,"$78,750",0.0
1085,Urban,"41,715","$74,341",1.0
1088,Suburban,663,"$60,260",2.0
1089,Urban,"28,814","$60,023",3.0
1092,Suburban,"1,248","$62,500",1.0
1093,Suburban,157,"$96,500",2.0
1094,Suburban,70,,0.0
1095,Urban,"14,737","$124,327",2.0
1096,Suburban,"2,413","$89,643",0.0
1097,Suburban,64,"$70,909",1.0
1098,Suburban,"1,042","$86,364",0.0
1103,Urban,"2,168","$20,978",3.0
1104,Urban,"23,226","$41,402",3.0
1105,Urban,"12,527","$23,331",3.0
1106,Urban,"16,150","$129,339",4.0
1107,Urban,"12,387","$31,698",3.0
1108,Urban,"26,257","$41,153",3.0
1109,Urban,"31,242","$37,887",3.0
1118,Urban,"15,073","$70,295",2.0
1119,Urban,"13,803","$50,729",2.0
1128,Urban,"3,232","$79,015",2.0
1129,Urban,"5,916","$75,944",2.0
1144,Urban,0,,3.0
1151,Urban,"9,640","$47,234",2.0
1201,Urban,"45,372","$60,060",1.0
1220,Urban,"8,161","$49,691",1.0
1222,Rural,754,"$61,840",0.0
1223,Suburban,"2,658","$64,750",0.0
1224,Urban,186,,1.0
1225,Urban,"3,243","$69,069",2.0
1226,Urban,"6,356","$72,664",1.0
1229,Rural,142,,0.0
1230,Suburban,"9,139","$71,281",0.0
1235,Suburban,"2,610","$66,516",1.0
1236,Suburban,"1,632","$77,588",0.0
1237,Urban,"2,332","$78,413",1.0
1238,Suburban,"5,626","$69,840",0.0
