origin,destination,distance_in_time
"34.049571,-87.552646","34.830588,-86.638833",1 hour 44 mins
"34.049571,-87.552646","34.214321,-86.156222",1 hour 59 mins
"34.049571,-87.552646","32.340084,-86.175233",2 hour 31 mins
"34.049571,-87.552646","33.236132,-87.615214",1 hour 11 mins
"34.049571,-87.552646","30.382341,-87.6857",5 hour 7 mins
"34.049571,-87.552646","34.657472,-86.485773",1 hour 52 mins
"34.049571,-87.552646","30.649611,-88.162241",4 hour 48 mins
"34.049571,-87.552646","30.885783,-87.789945",4 hour 17 mins
"34.049571,-87.552646","33.448237,-86.821089",1 hour 10 mins
"34.049571,-87.552646","33.64555,-87.837726",44 mins
"34.049571,-87.552646","33.637739,-86.684404",1 hour 18 mins
"34.049571,-87.552646","32.370693,-86.268412",2 hour 23 mins
"34.049571,-87.552646","34.556786,-86.997067",1 hour 15 mins
"34.049571,-87.552646","33.970063,-86.451534",1 hour 42 mins
"32.536635,-85.697354","34.830588,-86.638833",3 hour 27 mins
"32.536635,-85.697354","34.214321,-86.156222",2 hour 53 mins
"32.536635,-85.697354","32.340084,-86.175233",38 mins
"32.536635,-85.697354","33.236132,-87.615214",2 hour 35 mins
"32.536635,-85.697354","30.382341,-87.6857",3 hour 29 mins
"32.536635,-85.697354","34.657472,-86.485773",3 hour 35 mins
"32.536635,-85.697354","30.649611,-88.162241",3 hour 11 mins
"32.536635,-85.697354","30.885783,-87.789945",2 hour 39 mins
"32.536635,-85.697354","33.448237,-86.821089",1 hour 54 mins
"32.536635,-85.697354","33.64555,-87.837726",3 hour 9 mins
"32.536635,-85.697354","33.637739,-86.684404",2 hour 13 mins
"32.536635,-85.697354","32.370693,-86.268412",39 mins
"32.536635,-85.697354","34.556786,-86.997067",3 hour 10 mins
"32.536635,-85.697354","33.970063,-86.451534",2 hour 44 mins
"32.77522,-86.1216","34.830588,-86.638833",3 hour 0 mins
"32.77522,-86.1216","34.214321,-86.156222",2 hour 12 mins
"32.77522,-86.1216","32.340084,-86.175233",53 mins
"32.77522,-86.1216","33.236132,-87.615214",2 hour 12 mins
"32.77522,-86.1216","30.382341,-87.6857",3 hour 36 mins
"32.77522,-86.1216","34.657472,-86.485773",3 hour 8 mins
"32.77522,-86.1216","30.649611,-88.162241",3 hour 17 mins
"32.77522,-86.1216","30.885783,-87.789945",2 hour 45 mins
"32.77522,-86.1216","33.448237,-86.821089",1 hour 28 mins
"32.77522,-86.1216","33.64555,-87.837726",2 hour 46 mins
"32.77522,-86.1216","33.637739,-86.684404",1 hour 45 mins
"32.77522,-86.1216","32.370693,-86.268412",48 mins
"32.77522,-86.1216","34.556786,-86.997067",2 hour 43 mins
"32.77522,-86.1216","33.970063,-86.451534",2 hour 3 mins
"34.00233,-86.224672","34.830588,-86.638833",1 hour 35 mins
"34.00233,-86.224672","34.214321,-86.156222",25 mins
"34.00233,-86.224672","32.340084,-86.175233",2 hour 15 mins
"34.00233,-86.224672","33.236132,-87.615214",1 hour 49 mins
"34.00233,-86.224672","30.382341,-87.6857",4 hour 51 mins
"34.00233,-86.224672","34.657472,-86.485773",1 hour 20 mins
"34.00233,-86.224672","30.649611,-88.162241",4 hour 32 mins
"34.00233,-86.224672","30.885783,-87.789945",4 hour 1 mins
"34.00233,-86.224672","33.448237,-86.821089",59 mins
"34.00233,-86.224672","33.64555,-87.837726",2 hour 12 mins
"34.00233,-86.224672","33.637739,-86.684404",49 mins
"34.00233,-86.224672","32.370693,-86.268412",2 hour 7 mins
"34.00233,-86.224672","34.556786,-86.997067",1 hour 24 mins
"34.00233,-86.224672","33.970063,-86.451534",24 mins
"33.916778,-86.243593","34.830588,-86.638833",1 hour 48 mins
"33.916778,-86.243593","34.214321,-86.156222",33 mins
"33.916778,-86.243593","32.340084,-86.175233",2 hour 9 mins
"33.916778,-86.243593","33.236132,-87.615214",1 hour 43 mins
"33.916778,-86.243593","30.382341,-87.6857",4 hour 45 mins
"33.916778,-86.243593","34.657472,-86.485773",1 hour 27 mins
"33.916778,-86.243593","30.649611,-88.162241",4 hour 26 mins
"33.916778,-86.243593","30.885783,-87.789945",3 hour 55 mins
"33.916778,-86.243593","33.448237,-86.821089",53 mins
"33.916778,-86.243593","33.64555,-87.837726",2 hour 6 mins
"33.916778,-86.243593","33.637739,-86.684404",43 mins
"33.916778,-86.243593","32.370693,-86.268412",2 hour 1 mins
"33.916778,-86.243593","34.556786,-86.997067",1 hour 37 mins
"33.916778,-86.243593","33.970063,-86.451534",23 mins
"33.45717,-86.864909","34.830588,-86.638833",1 hour 43 mins
"33.45717,-86.864909","34.214321,-86.156222",1 hour 22 mins
"33.45717,-86.864909","32.340084,-86.175233",1 hour 33 mins
"33.45717,-86.864909","33.236132,-87.615214",1 hour 4 mins
"33.45717,-86.864909","30.382341,-87.6857",4 hour 9 mins
"33.45717,-86.864909","34.657472,-86.485773",1 hour 51 mins
"33.45717,-86.864909","30.649611,-88.162241",3 hour 50 mins
"33.45717,-86.864909","30.885783,-87.789945",3 hour 19 mins
"33.45717,-86.864909","33.448237,-86.821089",12 mins
"33.45717,-86.864909","33.64555,-87.837726",1 hour 33 mins
"33.45717,-86.864909","33.637739,-86.684404",30 mins
"33.45717,-86.864909","32.370693,-86.268412",1 hour 25 mins
"33.45717,-86.864909","34.556786,-86.997067",1 hour 26 mins
"33.45717,-86.864909","33.970063,-86.451534",1 hour 0 mins
"30.64109,-88.062248","34.830588,-86.638833",5 hour 14 mins
"30.64109,-88.062248","34.214321,-86.156222",4 hour 47 mins
"30.64109,-88.062248","32.340084,-86.175233",2 hour 40 mins
"30.64109,-88.062248","33.236132,-87.615214",3 hour 40 mins
"30.64109,-88.062248","30.382341,-87.6857",52 mins
"30.64109,-88.062248","34.657472,-86.485773",5 hour 22 mins
"30.64109,-88.062248","30.649611,-88.162241",17 mins
"30.64109,-88.062248","30.885783,-87.789945",41 mins
"30.64109,-88.062248","33.448237,-86.821089",3 hour 41 mins
"30.64109,-88.062248","33.64555,-87.837726",4 hour 15 mins
"30.64109,-88.062248","33.637739,-86.684404",4 hour 0 mins
"30.64109,-88.062248","32.370693,-86.268412",2 hour 32 mins
"30.64109,-88.062248","34.556786,-86.997067",4 hour 56 mins
"30.64109,-88.062248","33.970063,-86.451534",4 hour 30 mins
"61.52704,-144.29413","60.563956,-151.226299",7 hour 21 mins
"61.52704,-144.29413","61.209899,-149.743371",4 hour 30 mins
"55.208706,-132.825903","60.563956,-151.226299",1 day 19 hour 0 mins
"55.208706,-132.825903","61.209899,-149.743371",1 day 16 hour 8 mins
"31.5687,-111.05231","32.426144,-110.939906",1 hour 13 mins
"31.5687,-111.05231","32.668615,-114.493093",3 hour 54 mins
"31.5687,-111.05231","33.510159,-112.267029",2 hour 33 mins
"31.5687,-111.05231","33.610797,-112.336937",2 hour 48 mins
"31.5687,-111.05231","33.507627,-111.889899",2 hour 22 mins
"31.5687,-111.05231","33.564926,-112.169988",2 hour 35 mins
