Address,Designation,Store #,Open Date
"1151 Stonecrest Blvd., Tega Cay, South Carolina",Walmart Supercenter,3733,"March 7, 2008"
"2150 E Tangerine Rd., Oro Valley, Arizona",Walmart Supercenter,3379,"October 29, 2008"
"3200 Lusk Dr., Neosho, Missouri",Walmart Supercenter,17,"May 1, 1969"
"10300 E Highway 350, Raytown, Missouri",Walmart Supercenter,1094,"October 1, 1987"
"4517 N Midland Dr., Midland, Texas",Walmart Supercenter,608,"June 29, 1984"
"1 Hilltop Plaza, Kittanning, Pennsylvania",Walmart Supercenter,1820,"August 4, 1992"
"8151 E 32nd St., Yuma, Arizona",Walmart Supercenter,4324,"April 18, 2007"
"9151 S. Quarry Bend Dr., Sandy, Utah",Walmart Supercenter,5235,"March 14, 2007"
"1356 E Highway 193, Layton, Utah",Neighborhood Market,5205,"March 3, 2004"
"3706 Diann Marie Rd., Louisville, Kentucky",Walmart Supercenter,526,"May 24, 1983"
"5050 Troup Hwy., Tyler, Texas",Walmart Supercenter,1044,"June 16, 1987"
"11900 St. Charles Rock Rd., Bridgeton, Missouri",Walmart Supercenter,1188,"August 16, 1988"
"1375 Market Square Dr, Springdale, Arkansas",Neighborhood Market,2742,"November 11, 1998"
"200 Wake Village Road, Wake Village, Texas",Neighborhood Market,4373,"September 9, 2015"
"2001 US Highway 1, Sebastian, Florida",Walmart Supercenter,1068,"October 20, 1987"
"10001 Woodlands Pkwy., Woodlands, Texas",Walmart Supercenter,3390,"May 17, 2006"
"1894 Ridge Avenue, Danville, Indiana",Walmart Supercenter,6476,"January 27, 2016"
"1410 S Randall Rd, Algonquin, Illinois",Walmart Supercenter,5060,"October 29, 2003"
"9300 S Interstate 35 Ste. B, Austin, Texas",Walmart Supercenter,5317,"May 18, 2005"
"1 Cottonvalley Dr NW, Huntsville, Alabama",Clinic Pharmacy,7254,"December 9, 2013"
"117 Wilton Blvd., New Castle, Delaware",Walmart,2555,"April 21, 1999"
"4206 S Pleasant Crossing Blvd., Rogers, Arkansas",Walmart,241,"January 31, 2017"
"100 S Conestoga Dr., Shippensburg, Pennsylvania",Walmart Supercenter,5358,"October 27, 2004"
