Address,Designation,Store #,Open Date,latitude,longitude
"1151 Stonecrest Blvd., Tega Cay, South Carolina",Walmart Supercenter,3733,"March 7, 2008",35.046191,-80.994007
"2150 E Tangerine Rd., Oro Valley, Arizona",Walmart Supercenter,3379,"October 29, 2008",32.426144,-110.939906
"3200 Lusk Dr., Neosho, Missouri",Walmart Supercenter,17,"May 1, 1969",36.84171,-94.39427
"10300 E Highway 350, Raytown, Missouri",Walmart Supercenter,1094,"October 1, 1987",38.984768,-94.460438
"4517 N Midland Dr., Midland, Texas",Walmart Supercenter,608,"June 29, 1984",32.029424,-102.145934
"1 Hilltop Plaza, Kittanning, Pennsylvania",Walmart Supercenter,1820,"August 4, 1992",40.812462,-79.54401
"8151 E 32nd St., Yuma, Arizona",Walmart Supercenter,4324,"April 18, 2007",32.668615,-114.493093
"9151 S. Quarry Bend Dr., Sandy, Utah",Walmart Supercenter,5235,"March 14, 2007",40.585435,-111.860134
"1356 E Highway 193, Layton, Utah",Neighborhood Market,5205,"March 3, 2004",41.100151,-111.940395
"3706 Diann Marie Rd., Louisville, Kentucky",Walmart Supercenter,526,"May 24, 1983",38.300116,-85.545772
"5050 Troup Hwy., Tyler, Texas",Walmart Supercenter,1044,"June 16, 1987",32.297789,-95.259976
"11900 St. Charles Rock Rd., Bridgeton, Missouri",Walmart Supercenter,1188,"August 16, 1988",38.745045,-90.419142
"1375 Market Square Dr, Springdale, Arkansas",Neighborhood Market,2742,"November 11, 1998",36.173387,-94.162546
"200 Wake Village Road, Wake Village, Texas",Neighborhood Market,4373,"September 9, 2015",33.420247,-94.101091
"2001 US Highway 1, Sebastian, Florida",Walmart Supercenter,1068,"October 20, 1987",27.829307,-80.481708
"10001 Woodlands Pkwy., Woodlands, Texas",Walmart Supercenter,3390,"May 17, 2006",40.750422,-73.996328
"1894 Ridge Avenue, Danville, Indiana",Walmart Supercenter,6476,"January 27, 2016",39.766794,-86.530319
"1410 S Randall Rd, Algonquin, Illinois",Walmart Supercenter,5060,"October 29, 2003",42.170468,-88.335097
"9300 S Interstate 35 Ste. B, Austin, Texas",Walmart Supercenter,5317,"May 18, 2005",30.16313,-97.786956
"1 Cottonvalley Dr NW, Huntsville, Alabama",Clinic Pharmacy,7254,"December 9, 2013",34.830588,-86.638833
"117 Wilton Blvd., New Castle, Delaware",Walmart,2555,"April 21, 1999",39.653639,-75.621507
"4206 S Pleasant Crossing Blvd., Rogers, Arkansas",Walmart,241,"January 31, 2017",36.280648,-94.151515
"100 S Conestoga Dr., Shippensburg, Pennsylvania",Walmart Supercenter,5358,"October 27, 2004",40.062277,-77.497972
"37 Stafford Ln., Delta, Colorado",Walmart Supercenter,5458,"September 15, 2004",38.749609,-108.05355
"665 Boston Post Rd., Old Saybrook, Connecticut",Walmart,2898,"August 22, 2001",41.296682,-72.381942
"26 Hampton House Rd., Newton, New Jersey",Walmart,2604,"January 26, 2000",41.069695,-74.738867
"5010 N 95th Ave., Glendale, Arizona",Walmart Supercenter,3465,"March 19, 2003",33.510159,-112.267029
"5605 University Town Center Drive, Morgantown, West Virginia",Walmart Supercenter,3215,"October 18, 2006",39.645871,-79.998579
"461 W Reservoir Rd., Woodstock, Virginia",Walmart Supercenter,2647,"January 27, 1999",38.869134,-78.530659
"1624 NC 14 Highway, Reidsville, North Carolina",Walmart Supercenter,3304,"October 26, 2005",36.384443,-79.664243
"1972 US Highway 431, Boaz, Alabama",Walmart Supercenter,298,"August 12, 1980",34.214321,-86.156222
"8580 Rock Ridge Dr., Mountain Iron, Minnesota",Walmart Supercenter,4849,"August 13, 2014",47.522611,-92.590891
"3100 E 1st St., Chandler, Oklahoma",Walmart Supercenter,387,"September 21, 1982",35.709732,-96.871499
"300 Walmart Cir., Booneville, Mississippi",Walmart Supercenter,114,"April 1, 1975",34.676637,-88.562911
"2250 Lincoln Ave., Nevada, Missouri",Walmart Supercenter,34,"November 1, 1971",37.83921,-94.35467
"4080 Stevens Creek Blvd., San Jose, California",Neighborhood Market,2486,"July 16, 2014",37.322401,-121.973234
"2052 N State Route 53, Fremont, Ohio",Walmart Supercenter,1429,"January 31, 1990",41.374417,-83.119163
"2700 Ward Blvd., Wilson, North Carolina",Neighborhood Market,4545,"November 11, 2015",35.752463,-77.929303
"1040 Collinsville Crossing Blvd., Collinsville, Illinois",Walmart Supercenter,361,"July 8, 1981",38.719408,-89.913032
"5401 Tinker Diagonal St., Oklahoma City, Oklahoma",Walmart Supercenter,544,"July 1, 1983",35.448327,-97.425592
"2700 S Kirkwood Rd., Houston, Texas",Walmart Supercenter,3296,"January 23, 2002",29.733062,-95.591005
"570 Pamlico Plaza, Washington, North Carolina",Walmart Supercenter,1354,"November 16, 1989",35.559777,-77.063623
"2020 NE Pine Island Road, Cape Coral, Florida",Neighborhood Market,6941,"August 31, 2016",26.671786,-81.928616
"230 State Highway, Franklin, New Jersey",Walmart,2090,"October 13, 1999",41.106968,-74.581488
"920 State Road 136, Baraboo, Wisconsin",Walmart Supercenter,1396,"December 30, 1989",43.458455,-89.772459
