zip,ruca,city,state_name,population,county,median_household_income,stratum_size,sample_proportion,stratum_sample_size
35575,Rural,Lynn,Alabama,"1,020",Winston,"$43,289",82,0.002438081646002438,1
36866,Suburban,Notasulga,Alabama,"4,145",Macon,"$52,123",365,0.010852436595010853,4
36026,Suburban,Equality,Alabama,"1,239",Coosa,"$89,375",365,0.010852436595010853,4
35972,Suburban,Gallant,Alabama,"1,036",Etowah,,365,0.010852436595010853,4
35987,Suburban,Steele,Alabama,"2,483",St. Clair,"$62,703",365,0.010852436595010853,4
35211,Urban,Birmingham,Alabama,"24,762",Jefferson,"$33,043",209,0.0062141349270062145,2
36615,Urban,Mobile,Alabama,0,Mobile,,209,0.0062141349270062145,2
99566,Rural,Chitina,Alaska,81,Copper River,,185,0.005500550055005501,2
99922,Rural,Hydaburg,Alaska,319,Prince of Wales-Hyder,"$45,938",185,0.005500550055005501,2
85640,Rural,Tumacacori,Arizona,86,Santa Cruz,,63,0.0018731602890018732,1
85530,Suburban,Bylas,Arizona,"1,514",Graham,"$37,564",134,0.003984182202003984,2
85371,Suburban,Poston,Arizona,250,La Paz,,134,0.003984182202003984,2
85282,Urban,Tempe,Arizona,"52,066",Maricopa,"$64,151",220,0.006541194660006541,2
85045,Urban,Phoenix,Arizona,"6,645",Maricopa,"$141,615",220,0.006541194660006541,2
72141,Rural,Scotland,Arkansas,515,Van Buren,"$35,313",136,0.004043647608004044,2
72064,Rural,Hazen,Arkansas,"2,793",Prairie,"$55,139",136,0.004043647608004044,2
72384,Suburban,Turrell,Arkansas,821,Crittenden,"$34,779",376,0.01117949632801118,4
72059,Suburban,Gregory,Arkansas,46,Woodruff,,376,0.01117949632801118,4
72396,Suburban,Wynne,Arkansas,"12,687",Cross,"$49,076",376,0.01117949632801118,4
72855,Suburban,Paris,Arkansas,"6,079",Logan,"$43,913",376,0.01117949632801118,4
72376,Urban,Proctor,Arkansas,"1,454",Crittenden,"$41,111",103,0.0030624684090030624,1
96054,Rural,Lookout,California,237,Modoc,"$56,875",237,0.007046650611007047,3
95511,Rural,Alderpoint,California,102,Humboldt,"$2,499",237,0.007046650611007047,3
95246,Rural,Mountain Ranch,California,"1,305",Calaveras,"$71,094",237,0.007046650611007047,3
93648,Suburban,Parlier,California,"15,507",Fresno,"$44,632",424,0.012606666072012607,5
92630,Suburban,Lake Forest,California,"66,621",Orange,"$108,963",424,0.012606666072012607,5
93428,Suburban,Cambria,California,"5,721",San Luis Obispo,"$87,961",424,0.012606666072012607,5
95987,Suburban,Williams,California,"6,370",Colusa,"$77,545",424,0.012606666072012607,5
93563,Suburban,Valyermo,California,247,Los Angeles,"$210,600",424,0.012606666072012607,5
