zip,ruca,city,state_name,population,county,median_household_income,stratum_size,sample_proportion,stratum_sample_size,latitude,longitude
35575,Rural,Lynn,Alabama,"1,020",Winston,"$43,289",82,0.0024380816460024,1,34.049571,-87.552646
36866,Suburban,Notasulga,Alabama,"4,145",Macon,"$52,123",365,0.0108524365950108,4,32.536635,-85.697354
36026,Suburban,Equality,Alabama,"1,239",Coosa,"$89,375",365,0.0108524365950108,4,32.77522,-86.1216
35972,Suburban,Gallant,Alabama,"1,036",Etowah,,365,0.0108524365950108,4,34.00233,-86.224672
35987,Suburban,Steele,Alabama,"2,483",St. Clair,"$62,703",365,0.0108524365950108,4,33.916778,-86.243593
35211,Urban,Birmingham,Alabama,"24,762",Jefferson,"$33,043",209,0.0062141349270062,2,33.45717,-86.864909
36615,Urban,Mobile,Alabama,0,Mobile,,209,0.0062141349270062,2,30.64109,-88.062248
99566,Rural,Chitina,Alaska,81,Copper River,,185,0.0055005500550055,2,61.52704,-144.29413
99922,Rural,Hydaburg,Alaska,319,Prince of Wales-Hyder,"$45,938",185,0.0055005500550055,2,55.208706,-132.825903
85640,Rural,Tumacacori,Arizona,86,Santa Cruz,,63,0.0018731602890018,1,31.5687,-111.05231
85530,Suburban,Bylas,Arizona,"1,514",Graham,"$37,564",134,0.0039841822020039,2,33.13428,-110.12004
85371,Suburban,Poston,Arizona,250,La Paz,,134,0.0039841822020039,2,33.99208,-114.40456
85282,Urban,Tempe,Arizona,"52,066",Maricopa,"$64,151",220,0.0065411946600065,2,33.396736,-111.929253
85045,Urban,Phoenix,Arizona,"6,645",Maricopa,"$141,615",220,0.0065411946600065,2,33.302168,-112.122581
72141,Rural,Scotland,Arkansas,515,Van Buren,"$35,313",136,0.004043647608004,2,35.52758,-92.61183
72064,Rural,Hazen,Arkansas,"2,793",Prairie,"$55,139",136,0.004043647608004,2,34.782306,-91.569612
72384,Suburban,Turrell,Arkansas,821,Crittenden,"$34,779",376,0.0111794963280111,4,35.343902,-90.297822
72059,Suburban,Gregory,Arkansas,46,Woodruff,,376,0.0111794963280111,4,35.15537,-91.34318
72396,Suburban,Wynne,Arkansas,"12,687",Cross,"$49,076",376,0.0111794963280111,4,35.274844,-90.798946
72855,Suburban,Paris,Arkansas,"6,079",Logan,"$43,913",376,0.0111794963280111,4,35.274106,-93.615999
