origin,destination,ruca,great_circle_distance,travel_time
"41.295893,-93.104232","41.687183,-93.772041",Suburban,43.87993343943162,55
"38.763463,-77.186063","38.960109,-78.187619",Urban,55.57037103175507,69
"44.12036,-69.24005","43.837601,-70.445011",Rural,63.014077992172815,97
"47.529679,-100.271687","48.820912,-100.439464",Rural,89.54992291640485,108
"43.54195,-114.31008","42.694082,-114.515923",Urban,59.49481535724846,75
"27.978147,-82.781523","28.477174,-81.628863",Urban,78.18283439788597,101
"39.99754,-85.74664","39.249364,-84.429904",Urban,87.07811358785702,123
"34.105281,-117.662035","33.655637,-117.987691",Urban,36.25091151429663,63
"44.245004,-71.888882","44.950484,-72.171959",Rural,50.69446273995188,68
"39.695488,-119.811146","39.422763,-119.756413",Urban,19.067723274586474,31
"38.31555,-93.327381","38.573574,-94.857331",Suburban,84.68928557552775,113
"36.831647,-76.270561","37.03671,-76.403592",Urban,15.96012740043047,32
"41.416747,-72.906096","41.368419,-72.160661",Urban,38.78251411927122,54
"35.919953,-84.516642","36.617776,-83.703397",Suburban,66.1587118185823,116
"40.653635,-97.430884","41.262003,-95.933564",Rural,88.71632590879216,96
"37.53256,-122.247806","37.68997,-121.87697",Urban,23.0274534938574,41
"43.612344,-96.364663","43.12513,-95.152458",Suburban,69.57130564542207,98
"40.897823,-77.773188","40.929304,-78.982898",Suburban,63.20048150742368,97
"41.53283,-85.08108","40.554883,-84.540796",Suburban,73.20028235184382,93
"37.97746,-89.081507","38.59589,-90.506702",Suburban,88.31552592593333,121
"41.258201,-82.119671","41.157701,-81.300226",Suburban,43.15735922547404,67
"40.3906,-91.38126","39.437961,-92.445983",Urban,86.69447954861792,122
"41.236242,-95.041216","41.177653,-96.059955",Rural,53.10967285273456,68
"37.193593,-92.078527","36.268971,-93.139001",Rural,86.77302906192763,135
"44.15117,-72.49288","44.950484,-72.171959",Urban,57.443275112139816,90
"36.200019,-79.880028","35.714728,-78.843201",Urban,66.98334272113722,87
"41.616247,-80.306783","41.128104,-78.737404",Urban,88.08325655421672,110
"33.874815,-118.240208","33.829541,-118.090738",Urban,9.12931815389533,16
"30.583474,-97.857453","30.644842,-97.689481",Urban,10.850846657698904,25
"38.49871,-80.7551","39.645871,-79.998579",Suburban,89.04461425546998,96
"39.18915,-108.06035","38.749609,-108.05355",Rural,30.37158845410272,76
"37.345785,-120.42415","37.515581,-120.84732",Urban,26.01343146100855,41
"34.334398,-83.837912","34.656318,-84.488276",Urban,43.20070662180267,69
"31.538397,-83.784347","32.179212,-83.180453",Suburban,56.71229005132086,77
"40.78581,-96.698002","40.72941,-96.684676",Urban,3.958788952242007,11
"42.4161,-92.2149","42.05207,-93.622077",Suburban,76.25346998220152,97
"36.314975,-79.06404","35.855693,-80.06605",Suburban,64.32165126679465,78
"47.4975,-101.37127","46.858098,-100.768499",Rural,52.46988279630224,61
"44.470235,-88.454719","45.16238,-89.140861",Suburban,58.462861654767,85
"33.480536,-117.227005","33.727524,-116.268223",Urban,57.7532742970758,107
"39.747179,-104.991511","39.656102,-104.994921",Urban,6.295431927471797,19
"34.840077,-101.5097","35.656235,-101.41154",Suburban,56.66249417985047,82
"37.64871,-82.1314","37.117083,-82.794957",Rural,51.73355320993384,94
"33.077371,-84.321736","34.037763,-84.688562",Suburban,69.6368607847681,106
"38.321125,-86.823444","37.754268,-87.061347",Suburban,41.25027363923866,56
"36.7394,-97.889923","37.644036,-98.713521",Rural,77.21159599967427,110
"43.5758,-96.09447","43.472446,-96.729415",Rural,32.60145334200547,53
"34.43038,-85.898669","35.140383,-86.56815",Suburban,62.046472982973135,101
"37.981442,-90.041779","37.785686,-89.028097",Suburban,56.90910409633509,93
"30.069437,-94.260793","29.917979,-95.415585",Suburban,69.89082698761563,86
"41.732036,-92.512822","42.033367,-91.553014",Rural,53.583248381475606,75
"39.316461,-103.323143","38.837655,-104.769498",Rural,84.33629829893903,98
"47.05221,-122.025502","47.16137,-122.288701",Urban,14.494436450437371,46
"41.4987,-74.55849","40.883026,-74.705559",Suburban,43.22081840074124,79
"41.530351,-81.307472","41.406965,-82.65893",Urban,70.48566437254098,90
"31.441909,-100.301587","31.487716,-100.461136",Urban,9.921225289782694,18
"29.6188,-99.51531","29.264501,-98.549002",Suburban,63.08604704706236,99
"33.913678,-80.354238","32.853019,-79.991295",Urban,76.21718153237754,90
"39.189677,-81.513911","38.755061,-82.927261",Urban,81.64225705260141,122
"36.220421,-91.746312","36.523814,-91.533636",Rural,24.07102982526182,42
"38.117579,-86.928645","38.234935,-86.130676",Suburban,44.093688191827766,49
"39.80461,-87.780032","39.818481,-88.882686",Rural,58.530202673165064,69
"46.125267,-123.905174","45.454923,-122.828051",Urban,69.55569668697235,108
"47.999093,-99.535801","48.194732,-101.299693",Rural,82.50870431427043,104
"46.777036,-116.525556","47.741678,-117.402747",Suburban,78.32018057157329,134
"39.190101,-87.547036","39.144852,-86.577864",Suburban,52.01074076212198,84
"34.86065,-90.59233","34.361915,-89.565339",Rural,67.80835886461382,119
"39.806991,-86.100535","40.281427,-86.478439",Urban,38.39409960351897,59
"43.678125,-95.171548","43.603284,-96.789711",Rural,81.07459009770706,77
"32.926431,-82.172337","32.202914,-82.362555",Suburban,51.20266683442134,72
"41.973292,-87.700351","42.238666,-87.951217",Urban,22.395584550721846,40
"34.907715,-87.50135","34.908673,-88.534974",Urban,58.56640713781316,86
"45.59179,-120.69811","46.255889,-119.307921",Rural,81.05209769380505,117
"46.886152,-95.724599","47.495427,-94.908745",Suburban,56.91650011941828,89
"44.52913,-90.88931","44.35456,-89.814112",Rural,54.39328560394821,78
"48.293181,-117.739245","47.70409,-117.030861",Rural,52.242419815457275,78
"40.647049,-123.913353","41.77284,-124.194649",Suburban,79.14690642964689,146
"40.418367,-82.283974","40.328134,-83.757797",Suburban,77.82856130943019,110
"39.267855,-94.472963","39.020347,-95.648552",Urban,65.274665408787,72
"42.61837,-77.737515","42.767208,-78.128128",Suburban,22.34391460427075,40
"34.598755,-79.707693","35.59435,-78.780868",Urban,86.46922305702091,126
"39.62732,-104.779035","40.422969,-104.753585",Urban,54.99059968402851,82
"35.87563,-89.39618","36.355073,-88.883587",Suburban,43.7712314502951,64
"35.149223,-84.874031","34.29393,-83.850851",Urban,82.87578295496463,139
"34.811726,-82.331435","34.861405,-82.681301",Urban,20.135899178953615,36
"47.139095,-122.258646","47.624833,-122.632657",Urban,37.84862503954483,67
"43.783229,-94.713525","44.32867,-94.505377",Rural,39.077920075601035,53
"42.297229,-78.649654","43.192244,-77.497393",Rural,85.10134522099546,120
"33.178426,-81.182699","32.950186,-80.155167",Rural,61.552661707086145,84
"37.41839,-95.68026","38.582125,-95.267201",Suburban,83.49204233156794,98
"40.69648,-76.16883","40.714554,-75.281048",Urban,46.51659692228812,73
"47.209445,-122.227319","47.507986,-122.631246",Urban,27.98028918760812,46
"33.362613,-95.104664","33.134364,-94.96521",Suburban,17.709907237833868,24
"43.248825,-97.538733","42.531713,-96.374643",Rural,76.98907904070799,100
"43.00586,-84.37164","43.489595,-83.973978",Suburban,38.95657959015847,68
"40.38865,-85.49942","39.661539,-86.145198",Suburban,60.75594859724013,80
"39.30403,-104.756722","40.405703,-105.044725",Urban,77.63592410146971,95
"40.777387,-79.233585","40.600959,-79.19361",Suburban,12.36861305051272,24
"40.042115,-116.974803","40.840442,-115.792789",Suburban,83.10036391596134,130
"41.040507,-81.194614","41.382942,-81.743944",Suburban,37.08167864058161,64
"41.43349,-81.632298","41.309765,-81.518643",Urban,10.38298138290298,21
"30.547365,-88.708582","30.332079,-89.187336",Suburban,32.16529682642109,51
"47.551771,-122.144727","47.507986,-122.631246",Urban,22.897902390092195,64
"44.294793,-96.270936","44.296139,-94.707251",Rural,77.32854778830635,98
"38.835412,-77.063959","38.327269,-75.615103",Urban,85.76918570995687,145
"43.417126,-89.070459","43.489272,-88.811505",Suburban,13.912168386278005,24
"44.94858,-90.5643","45.635859,-89.383313",Rural,74.49790826621998,103
"42.31259,-72.20786","41.641973,-71.007903",Suburban,77.1082057387383,112
"38.978405,-79.949417","37.811926,-80.429334",Rural,84.68201087581667,154
"39.188663,-98.044605","38.023657,-97.338544",Rural,89.06458702232808,101
"43.062016,-76.134145","42.157069,-76.854158",Urban,72.45657262628279,109
"40.46254,-92.01684","39.437961,-92.445983",Rural,74.35113938770039,107
"43.034725,-98.315504","43.516781,-96.773492",Rural,84.41648024699806,111
"43.152767,-76.223459","43.323548,-76.448719",Urban,16.36455886927713,27
"43.152013,-77.584888","42.080317,-78.468053",Urban,86.59832627387031,114
"42.479475,-73.24807","41.797239,-71.912256",Urban,83.10072527897883,129
"39.972965,-75.365635","39.162097,-76.612027",Urban,86.86568654855768,104
"45.790379,-108.588144","45.828755,-108.468116",Urban,6.359801244826952,21
"40.177826,-77.229536","39.449246,-77.389854",Urban,51.05405360726734,73
"43.183395,-94.177422","44.097942,-93.249733",Rural,78.38585089962511,110
"43.14972,-97.71757","43.059802,-96.171737",Rural,78.22626387948887,100
"36.066129,-79.806735","35.869632,-78.565658",Urban,70.71660760101658,77
"40.1941,-85.385939","40.745127,-86.774935",Urban,82.3386935848127,124
"37.119566,-90.444953","38.07366,-91.402572",Suburban,84.22454479218221,134
"41.48259,-73.40957","40.726947,-73.543592",Urban,52.67412481053622,93
"34.833714,-92.3289","34.477074,-91.549104",Urban,50.709345070100525,72
"42.065281,-91.078891","40.979147,-91.541916",Rural,78.77414312572498,105
"45.80172,-68.41169","46.143148,-67.842563",Suburban,36.10267881954304,43
"41.575705,-91.939701","40.708714,-92.867416",Suburban,76.93109961404322,119
"32.498202,-93.750228","32.531882,-94.784853",Urban,60.32507278694591,68
"35.456288,-104.679611","35.6199,-105.227366",Suburban,32.80578321199167,60
"42.10285,-77.23359","43.055548,-77.054895",Suburban,66.44996976823542,100
"43.33451,-75.74796","43.095391,-75.312218",Rural,27.46620248459389,43
"45.3656,-69.61811","45.355887,-68.524582",Rural,53.09226975922275,93
"44.053321,-87.899912","43.970655,-88.979085",Suburban,53.9287571093749,89
