zip,15_min,30_min,45_min,60_min,ruca,population,median_household_income
1001,9,19,36,66,Urban,"16,088","$72,444"
1002,7,16,34,57,Urban,"27,323","$65,013"
1003,7,16,35,54,Urban,"13,711",
1005,3,17,31,60,Suburban,"4,947","$103,477"
1007,8,18,39,60,Urban,"15,304","$101,076"
1008,1,9,21,44,Suburban,"1,171","$79,573"
1009,8,21,41,68,Urban,800,"$64,809"
1010,2,17,35,62,Suburban,"3,703","$84,830"
1011,0,7,19,43,Suburban,"1,332","$75,640"
1012,2,8,17,42,Suburban,503,"$68,894"
1013,7,20,37,65,Urban,"22,709","$52,721"
1020,7,18,37,63,Urban,"30,704","$61,963"
1022,7,17,39,62,Urban,"2,235","$50,134"
1026,0,7,16,41,Suburban,"1,071","$76,100"
1027,6,14,37,57,Urban,"17,708","$64,330"
1028,8,22,39,66,Urban,"16,386","$95,284"
1029,0,2,14,34,Rural,511,"$88,750"
1030,8,18,36,64,Urban,"12,627","$86,136"
1031,3,16,29,55,Suburban,"1,577","$49,071"
1032,1,9,17,41,Suburban,430,"$83,750"
1033,6,15,36,62,Urban,"6,110","$106,821"
1034,1,11,22,47,Suburban,"1,991","$91,176"
1035,7,14,36,53,Urban,"5,293","$101,458"
1036,9,23,43,66,Urban,"4,991","$99,400"
1037,1,17,29,56,Suburban,692,"$85,250"
1038,3,7,22,41,Suburban,"2,601","$90,893"
1039,2,9,22,44,Suburban,"1,675","$99,896"
1040,7,18,35,62,Urban,"38,480","$45,045"
1050,1,7,19,43,Suburban,"2,593","$70,800"
1053,5,12,33,54,Urban,"2,016","$56,094"
1054,3,10,22,41,Suburban,"1,794","$97,188"
1056,8,20,40,66,Urban,"21,050","$72,563"
1057,3,16,33,60,Suburban,"8,288","$72,567"
1060,6,16,36,55,Urban,"14,975","$70,467"
1062,5,14,33,55,Urban,"9,835","$78,526"
1063,6,16,36,55,Urban,"2,532",
1066,2,10,21,42,Suburban,51,
1068,4,18,33,67,Suburban,"1,621","$85,078"
1069,8,22,42,69,Urban,"8,870","$64,300"
1070,2,6,17,38,Suburban,621,"$71,000"
1071,2,9,21,47,Suburban,"1,280","$94,286"
1072,3,11,22,41,Suburban,"1,374","$79,226"
1073,5,9,25,47,Suburban,"6,158","$110,200"
1074,3,18,31,61,Suburban,584,"$81,681"
1075,6,16,36,64,Urban,"18,051","$82,278"
1077,8,19,34,62,Urban,"9,292","$100,337"
1079,8,22,41,69,Urban,521,"$65,184"
1080,8,22,41,67,Urban,"2,276","$80,087"
1081,2,17,37,62,Suburban,"1,748","$85,938"
1082,2,16,30,52,Suburban,"10,441","$60,281"
1083,3,17,30,59,Suburban,"2,701","$81,078"
1084,1,7,15,42,Suburban,101,"$78,750"
1085,6,17,32,62,Urban,"41,715","$74,341"
1088,2,9,21,42,Suburban,663,"$60,260"
1089,7,20,35,64,Urban,"28,814","$60,023"
1092,2,17,32,57,Suburban,"1,248","$62,500"
1093,2,10,21,42,Suburban,157,"$96,500"
1094,2,18,32,60,Suburban,70,
1095,8,22,40,65,Urban,"14,737","$124,327"
1096,2,8,18,42,Suburban,"2,413","$89,643"
1097,2,12,22,47,Suburban,64,"$70,909"
1098,1,7,17,41,Suburban,"1,042","$86,364"
1103,8,21,37,65,Urban,"2,168","$20,978"
1104,7,20,38,63,Urban,"23,226","$41,402"
1105,8,21,37,65,Urban,"12,527","$23,331"
1106,9,21,37,66,Urban,"16,150","$129,339"
1107,8,20,37,64,Urban,"12,387","$31,698"
1108,8,21,37,66,Urban,"26,257","$41,153"
1109,8,21,38,65,Urban,"31,242","$37,887"
1118,8,22,38,66,Urban,"15,073","$70,295"
1119,8,21,38,66,Urban,"13,803","$50,729"
1128,9,23,41,65,Urban,"3,232","$79,015"
1129,9,22,39,67,Urban,"5,916","$75,944"
1144,8,21,36,65,Urban,0,
1151,7,20,38,66,Urban,"9,640","$47,234"
1201,2,13,26,44,Urban,"45,372","$60,060"
1220,3,12,23,38,Urban,"8,161","$49,691"
1222,0,1,10,33,Rural,754,"$61,840"
