zip,15_min,30_min,45_min,60_min
1001,9,19,36,66
1002,7,16,34,57
1003,7,16,35,54
1005,3,17,31,60
1007,8,18,39,60
1008,1,9,21,44
1009,8,21,41,68
1010,2,17,35,62
1011,0,7,19,43
1012,2,8,17,42
1013,7,20,37,65
1020,7,18,37,63
1022,7,17,39,62
1026,0,7,16,41
1027,6,14,37,57
1028,8,22,39,66
1029,0,2,14,34
1030,8,18,36,64
1031,3,16,29,55
1032,1,9,17,41
1033,6,15,36,62
1034,1,11,22,47
1035,7,14,36,53
1036,9,23,43,66
1037,1,17,29,56
1038,3,7,22,41
1039,2,9,22,44
1040,7,18,35,62
1050,1,7,19,43
1053,5,12,33,54
1054,3,10,22,41
1056,8,20,40,66
1057,3,16,33,60
1060,6,16,36,55
1062,5,14,33,55
1063,6,16,36,55
1066,2,10,21,42
1068,4,18,33,67
1069,8,22,42,69
1070,2,6,17,38
1071,2,9,21,47
1072,3,11,22,41
1073,5,9,25,47
1074,3,18,31,61
1075,6,16,36,64
1077,8,19,34,62
1079,8,22,41,69
1080,8,22,41,67
1081,2,17,37,62
1082,2,16,30,52
1083,3,17,30,59
1084,1,7,15,42
1085,6,17,32,62
1088,2,9,21,42
1089,7,20,35,64
1092,2,17,32,57
1093,2,10,21,42
1094,2,18,32,60
1095,8,22,40,65
1096,2,8,18,42
1097,2,12,22,47
1098,1,7,17,41
1103,8,21,37,65
1104,7,20,38,63
1105,8,21,37,65
1106,9,21,37,66
1107,8,20,37,64
1108,8,21,37,66
1109,8,21,38,65
1118,8,22,38,66
1119,8,21,38,66
1128,9,23,41,65
1129,9,22,39,67
1144,8,21,36,65
1151,7,20,38,66
1201,2,13,26,44
1220,3,12,23,38
1222,0,1,10,33
1223,1,6,20,38
1224,2,13,25,44
1225,2,13,24,41
1226,2,13,24,43
1229,0,2,11,29
1230,0,4,20,37
1235,1,4,20,36
1236,0,3,18,37
1237,2,11,22,39
1238,1,3,19,35
1240,1,4,20,35
1242,1,3,19,35
1243,1,7,20,40
1244,0,1,11,32
1245,0,1,13,32
1247,3,12,23,37
1253,0,2,13,34
1254,1,8,19,35
1255,0,3,14,32
1256,2,5,19,33
1257,0,0,8,31
1258,0,1,10,33
1259,0,1,13,33
1260,1,3,20,35
1262,0,2,12,27
1264,0,1,12,33
1266,0,2,11,23
1267,4,11,23,34
1270,2,5,18,33
1301,4,14,22,50
1330,1,8,15,38
1331,4,19,35,57
1337,2,8,19,32
1338,0,5,12,25
1339,1,7,16,36
1340,1,7,14,32
1341,2,10,17,41
1342,2,8,20,37
1343,1,6,17,32
1344,1,8,22,38
1346,1,7,16,34
1347,4,14,27,56
1349,4,16,27,54
1350,1,4,16,29
1351,4,16,27,56
1354,2,8,20,35
1355,1,14,25,43
1360,2,7,19,34
1364,5,17,32,52
1366,2,16,28,49
1367,1,6,18,31
1368,5,14,32,54
1370,0,4,13,26
1373,2,9,22,38
1375,2,8,22,39
1376,4,13,24,52
1378,2,9,22,39
1379,1,9,22,39
1380,1,10,23,41
1420,8,27,47,71
1430,4,14,31,52
1431,4,15,33,54
1432,11,30,49,69
1434,4,20,42,61
1436,5,20,37,62
1438,7,22,38,68
1440,6,21,38,65
1450,11,30,47,69
1451,5,21,42,63
1452,3,14,31,58
1453,12,25,51,73
1460,11,31,51,71
1462,10,28,49,70
1463,12,27,46,67
1464,12,31,50,72
1468,7,23,37,68
1469,9,25,43,66
1473,8,23,45,69
1474,7,24,42,65
1475,6,20,37,60
1501,11,24,57,79
1503,13,34,57,74
1504,15,35,53,75
1505,11,28,58,74
1506,4,17,31,64
1507,5,17,36,72
1510,12,28,58,74
1515,5,17,32,67
1516,14,30,61,79
1518,8,24,47,82
1519,13,31,61,79
1520,11,25,60,75
1521,2,16,38,66
1522,12,24,58,76
1523,10,30,56,72
1524,12,25,56,80
1525,15,35,61,79
1527,13,26,58,78
1529,15,33,56,76
1531,3,18,31,62
1532,11,31,58,74
1534,13,34,59,78
1535,4,18,30,67
1536,12,29,60,79
1537,11,26,55,82
1540,11,28,58,82
1541,5,17,36,63
1542,10,26,53,81
1543,12,25,52,74
1545,12,30,59,79
1550,8,28,50,83
1560,13,32,60,79
1561,11,29,56,72
1562,10,24,52,79
1564,10,26,55,71
1566,8,25,48,83
1568,12,37,60,78
1569,15,34,60,76
1570,11,27,55,83
1571,10,28,57,82
1581,12,35,57,77
1583,12,25,59,74
1585,3,17,29,59
1588,13,33,61,79
1590,12,29,59,80
1602,11,25,59,80
1603,10,26,57,80
1604,11,25,60,79
1605,13,25,60,80
1606,13,25,59,78
1607,12,24,59,79
1608,11,26,60,79
1609,13,26,59,79
1610,11,25,59,79
1611,11,27,58,79
1612,12,24,56,81
1701,10,38,57,74
1702,10,40,57,76
1718,14,33,52,72
