zip,ruca,city,state_name,population,county,median_household_income,latitude,longitude
1001,Urban,Agawam,Massachusetts,"16,088",Hampden,"$72,444",42.06954,-72.61481
1002,Urban,Amherst,Massachusetts,"27,323",Hampshire,"$65,013",42.367092,-72.464571
1003,Urban,Amherst,Massachusetts,"13,711",Hampshire,,42.389941,-72.524108
1005,Suburban,Barre,Massachusetts,"4,947",Worcester,"$103,477",42.42301,-72.10638
1007,Urban,Belchertown,Massachusetts,"15,304",Hampshire,"$101,076",42.280267,-72.402056
1008,Suburban,Blandford,Massachusetts,"1,171",Hampden,"$79,573",42.177833,-72.958359
1009,Urban,Bondsville,Massachusetts,800,Hampden,"$64,809",42.206092,-72.340486
1010,Suburban,Brimfield,Massachusetts,"3,703",Hampden,"$84,830",42.108585,-72.20448
1011,Suburban,Chester,Massachusetts,"1,332",Hampden,"$75,640",42.294259,-72.952776
1012,Suburban,Chesterfield,Massachusetts,503,Hampshire,"$68,894",42.392274,-72.825607
1013,Urban,Chicopee,Massachusetts,"22,709",Hampden,"$52,721",42.154904,-72.602804
1020,Urban,Chicopee,Massachusetts,"30,704",Hampden,"$61,963",42.177492,-72.562563
1022,Urban,Chicopee,Massachusetts,"2,235",Hampden,"$50,134",42.193392,-72.55436
1026,Suburban,Cummington,Massachusetts,"1,071",Hampshire,"$76,100",42.46175,-72.89398
1027,Urban,Easthampton,Massachusetts,"17,708",Hampshire,"$64,330",42.26676,-72.66898
1028,Urban,East Longmeadow,Massachusetts,"16,386",Hampden,"$95,284",42.062009,-72.49874
1029,Rural,East Otis,Massachusetts,511,Berkshire,"$88,750",42.190904,-73.051661
1030,Urban,Feeding Hills,Massachusetts,"12,627",Hampden,"$86,136",42.06815,-72.6787
1031,Suburban,Gilbertville,Massachusetts,"1,577",Worcester,"$49,071",42.31259,-72.20786
1032,Suburban,Goshen,Massachusetts,430,Hampshire,"$83,750",42.443837,-72.819446
1033,Urban,Granby,Massachusetts,"6,110",Hampshire,"$106,821",42.262285,-72.504086
1034,Suburban,Granville,Massachusetts,"1,991",Hampden,"$91,176",42.112748,-72.952003
